experiment,fault,task,method,episodes,successes,success_rate,wilson95_low,wilson95_high,fault_triggered,fault_trigger_rate,triggered_successes,conditional_recovery_rate,git_commit,result_protocol_sha256,result_path,result_sha256
normal,,bimanual_handover_item,dynamac_v4,200,175,0.875,0.8219857499741765,0.9138802552428735,,,,,0401a1066f32b2d7f2842956f84c91082500b268,c39e00d5207478d74c98415fa4baca8631ca180c15e7ec0b6d032727516548b7,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/normal/bimanual_handover_item/dynamac_v4_n200.json,133a66ce97c502a1517741a890473e3c399974387fb01f3441bc8755f1560ca8
normal,,bimanual_handover_item,progress_only,200,149,0.745,0.6803707417954529,0.8003950482796865,,,,,cd3eba1dfd349ff078855af995cb16333c6d3710,c39e00d5207478d74c98415fa4baca8631ca180c15e7ec0b6d032727516548b7,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/normal/bimanual_handover_item/progress_only_n200.json,0fde389559c43dba294f71a5cc271c79e01745f106fda9f8dccbe468ff2b9467
normal,,bimanual_handover_item,progress_dynamic_roles,200,139,0.695,0.6280144790202163,0.7546358436926496,,,,,cd3eba1dfd349ff078855af995cb16333c6d3710,c39e00d5207478d74c98415fa4baca8631ca180c15e7ec0b6d032727516548b7,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/normal/bimanual_handover_item/progress_dynamic_roles_n200.json,79135e22db011dbcd974912753d02c4a693066090831142b3c2eb0cf66831afe
normal,,bimanual_handover_item,full,200,187,0.935,0.8919809207009312,0.961623645350847,,,,,cd3eba1dfd349ff078855af995cb16333c6d3710,c39e00d5207478d74c98415fa4baca8631ca180c15e7ec0b6d032727516548b7,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/normal/bimanual_handover_item/full_n200.json,a354e0c2c9eee907315eb3df7c4fc534ac10ff20d20f3eabb1bf79c0f293523f
normal,,bimanual_lift_tray,dynamac_v4,200,176,0.88,0.8276574790170326,0.9180200729362449,,,,,0401a1066f32b2d7f2842956f84c91082500b268,c39e00d5207478d74c98415fa4baca8631ca180c15e7ec0b6d032727516548b7,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/normal/bimanual_lift_tray/dynamac_v4_n200.json,d31684376d1086605338f8e9b15b17c4401f80710de7072f85b0230cb0e5c251
normal,,bimanual_lift_tray,progress_only,200,186,0.93,0.8859451911438936,0.9578478281716571,,,,,cd3eba1dfd349ff078855af995cb16333c6d3710,c39e00d5207478d74c98415fa4baca8631ca180c15e7ec0b6d032727516548b7,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/normal/bimanual_lift_tray/progress_only_n200.json,788531a7eded4cea2fceffe4356d7aed1ce1b248ea2679c328d0e255c3d99164
normal,,bimanual_lift_tray,progress_dynamic_roles,200,188,0.94,0.8980683070423372,0.9653478057456681,,,,,cd3eba1dfd349ff078855af995cb16333c6d3710,c39e00d5207478d74c98415fa4baca8631ca180c15e7ec0b6d032727516548b7,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/normal/bimanual_lift_tray/progress_dynamic_roles_n200.json,f8f79c492923f4245ccca44ad0334cdbea9f0b18e7b6dc15e95fe1c66c0f4bb8
normal,,bimanual_lift_tray,full,200,194,0.97,0.9361057075454807,0.9861796856598887,,,,,cd3eba1dfd349ff078855af995cb16333c6d3710,c39e00d5207478d74c98415fa4baca8631ca180c15e7ec0b6d032727516548b7,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/normal/bimanual_lift_tray/full_n200.json,3fe5c1b4d408bf04138b40f40ebb10aa5dea4fc5ad4494b57930bdf935658966
normal,,bimanual_sweep_to_dustpan,dynamac_v4,200,194,0.97,0.9361057075454807,0.9861796856598887,,,,,0401a1066f32b2d7f2842956f84c91082500b268,c39e00d5207478d74c98415fa4baca8631ca180c15e7ec0b6d032727516548b7,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/normal/bimanual_sweep_to_dustpan/dynamac_v4_n200.json,ba477c3d172c974501b4362cf7addbad76bf009deb04344c37de8b34107eb733
normal,,bimanual_sweep_to_dustpan,progress_only,200,199,0.995,0.9722262956021069,0.9991168312843989,,,,,0401a1066f32b2d7f2842956f84c91082500b268,c39e00d5207478d74c98415fa4baca8631ca180c15e7ec0b6d032727516548b7,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/normal/bimanual_sweep_to_dustpan/progress_only_n200.json,fe48710af8038de8be613af80c4fd0f676253c908a16c84a98da87e4ea1cef0a
normal,,bimanual_sweep_to_dustpan,progress_dynamic_roles,200,195,0.975,0.942821659593358,0.9892752803482386,,,,,0401a1066f32b2d7f2842956f84c91082500b268,c39e00d5207478d74c98415fa4baca8631ca180c15e7ec0b6d032727516548b7,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/normal/bimanual_sweep_to_dustpan/progress_dynamic_roles_n200.json,6be15913c2b1f73f45ee48a9b70bb8f1d17401388bc7047fee0cac73f9c7019c
