experiment,fault,task,proposed,reference,episodes,proposed_rate,reference_rate,rate_difference,proposed_only_success,reference_only_success,mcnemar_exact_p,holm_adjusted_p
fault,grasp_failure,open_microwave,full,dynamac_v4,50,0.94,0.0,0.94,47,0,1.4210854715202004e-14,2.5011104298755527e-12
fault,grasp_failure,place_cups,progress_only,dynamac_v4,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,grasp_failure,place_cups,progress_dynamic_roles,progress_only,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,grasp_failure,place_cups,full,progress_dynamic_roles,50,0.96,0.0,0.96,48,0,7.105427357601002e-15,1.2647660696529783e-12
fault,grasp_failure,place_cups,full,dynamac_v4,50,0.96,0.0,0.96,48,0,7.105427357601002e-15,1.2647660696529783e-12
fault,grasp_failure,stack_wine,progress_only,dynamac_v4,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,grasp_failure,stack_wine,progress_dynamic_roles,progress_only,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,grasp_failure,stack_wine,full,progress_dynamic_roles,50,1.0,0.0,1.0,50,0,1.7763568394002505e-15,3.375077994860476e-13
fault,grasp_failure,stack_wine,full,dynamac_v4,50,1.0,0.0,1.0,50,0,1.7763568394002505e-15,3.375077994860476e-13
fault,grasp_failure,wipe_desk,progress_only,dynamac_v4,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,grasp_failure,wipe_desk,progress_dynamic_roles,progress_only,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,grasp_failure,wipe_desk,full,progress_dynamic_roles,50,0.7,0.0,0.7,35,0,5.820766091346741e-11,9.837094694375992e-09
fault,grasp_failure,wipe_desk,full,dynamac_v4,50,0.7,0.0,0.7,35,0,5.820766091346741e-11,9.837094694375992e-09
fault,relation_mismatch,bimanual_handover_item,progress_only,dynamac_v4,50,0.14,0.08,0.06,7,4,0.548828125,1.0
fault,relation_mismatch,bimanual_handover_item,progress_dynamic_roles,progress_only,50,0.12,0.14,-0.02,3,4,1.0,1.0
fault,relation_mismatch,bimanual_handover_item,full,progress_dynamic_roles,50,0.0,0.12,-0.12,0,6,0.03125,1.0
fault,relation_mismatch,bimanual_handover_item,full,dynamac_v4,50,0.0,0.08,-0.08,0,4,0.125,1.0
fault,relation_mismatch,bimanual_lift_tray,progress_only,dynamac_v4,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,relation_mismatch,bimanual_lift_tray,progress_dynamic_roles,progress_only,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,relation_mismatch,bimanual_lift_tray,full,progress_dynamic_roles,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,relation_mismatch,bimanual_lift_tray,full,dynamac_v4,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,relation_mismatch,bimanual_put_bottle_in_fridge,progress_only,dynamac_v4,50,0.0,0.36,-0.36,0,18,7.62939453125e-06,0.001220703125
fault,relation_mismatch,bimanual_put_bottle_in_fridge,progress_dynamic_roles,progress_only,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,relation_mismatch,bimanual_put_bottle_in_fridge,full,progress_dynamic_roles,50,0.6,0.0,0.6,30,0,1.862645149230957e-09,3.110617399215698e-07
fault,relation_mismatch,bimanual_put_bottle_in_fridge,full,dynamac_v4,50,0.6,0.36,0.24,19,7,0.028959274291992188,1.0
fault,relation_mismatch,bimanual_sweep_to_dustpan,progress_only,dynamac_v4,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,relation_mismatch,bimanual_sweep_to_dustpan,progress_dynamic_roles,progress_only,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,relation_mismatch,bimanual_sweep_to_dustpan,full,progress_dynamic_roles,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,relation_mismatch,bimanual_sweep_to_dustpan,full,dynamac_v4,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,relation_mismatch,open_microwave,progress_only,dynamac_v4,50,1.0,1.0,0.0,0,0,1.0,1.0
fault,relation_mismatch,open_microwave,progress_dynamic_roles,progress_only,50,1.0,1.0,0.0,0,0,1.0,1.0
fault,relation_mismatch,open_microwave,full,progress_dynamic_roles,50,0.98,1.0,-0.02,0,1,1.0,1.0
fault,relation_mismatch,open_microwave,full,dynamac_v4,50,0.98,1.0,-0.02,0,1,1.0,1.0
fault,relation_mismatch,place_cups,progress_only,dynamac_v4,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,relation_mismatch,place_cups,progress_dynamic_roles,progress_only,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,relation_mismatch,place_cups,full,progress_dynamic_roles,50,0.28,0.0,0.28,14,0,0.0001220703125,0.018651962280273438
fault,relation_mismatch,place_cups,full,dynamac_v4,50,0.28,0.0,0.28,14,0,0.0001220703125,0.018651962280273438
fault,relation_mismatch,stack_wine,progress_only,dynamac_v4,50,0.0,0.38,-0.38,0,19,3.814697265625e-06,0.00061798095703125
fault,relation_mismatch,stack_wine,progress_dynamic_roles,progress_only,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,relation_mismatch,stack_wine,full,progress_dynamic_roles,50,0.98,0.0,0.98,49,0,3.552713678800501e-15,6.501466032204917e-13
fault,relation_mismatch,stack_wine,full,dynamac_v4,50,0.98,0.38,0.6,31,1,1.5366822481155396e-08,2.5355257093906403e-06
fault,relation_mismatch,wipe_desk,progress_only,dynamac_v4,50,0.0,0.06,-0.06,0,3,0.25,1.0
fault,relation_mismatch,wipe_desk,progress_dynamic_roles,progress_only,50,0.0,0.0,0.0,0,0,1.0,1.0
fault,relation_mismatch,wipe_desk,full,progress_dynamic_roles,50,0.26,0.0,0.26,13,0,0.000244140625,0.03662109375
fault,relation_mismatch,wipe_desk,full,dynamac_v4,50,0.26,0.06,0.2,13,3,0.021270751953125,1.0
fault,time_stall,bimanual_handover_item,progress_only,dynamac_v4,50,0.54,0.76,-0.22,7,18,0.043285250663757324,1.0
