trial_id,task,arm,demonstration,scenario,intervention,perturbed,frame,expected_relation,skill_index,anchor_local_index,horizon_ticks,baseline_detection,proposed_detection,proposed_detection_latency,proposed_recover_rate,proposed_defer_rate,proposed_block_rate,baseline_active_rate,proposed_mean_weight,proposed_final_relation,baseline_active_expert_suppressed
relation:stack_wine:d0:false_coupling_control:wine_bottle,stack_wine,single,0,false_coupling_control,false_coupling,0,wine_bottle,external,0,49,2,0,0,,0.0,0.0,0.0,1.0,0.9999999996281097,external,0
relation:stack_wine:d0:false_coupling_perturbed:wine_bottle,stack_wine,single,0,false_coupling_perturbed,false_coupling,1,wine_bottle,external,0,49,2,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:stack_wine:d1:false_coupling_control:wine_bottle,stack_wine,single,1,false_coupling_control,false_coupling,0,wine_bottle,external,0,59,2,0,0,,0.0,0.0,0.0,1.0,0.9999999996280861,external,0
relation:stack_wine:d1:false_coupling_perturbed:wine_bottle,stack_wine,single,1,false_coupling_perturbed,false_coupling,1,wine_bottle,external,0,59,2,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:stack_wine:d2:false_coupling_control:wine_bottle,stack_wine,single,2,false_coupling_control,false_coupling,0,wine_bottle,external,0,46,2,0,0,,0.0,0.0,0.0,1.0,0.9999999996280713,external,0
relation:stack_wine:d2:false_coupling_perturbed:wine_bottle,stack_wine,single,2,false_coupling_perturbed,false_coupling,1,wine_bottle,external,0,46,2,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:stack_wine:d3:false_coupling_control:wine_bottle,stack_wine,single,3,false_coupling_control,false_coupling,0,wine_bottle,external,0,65,2,0,0,,0.0,0.0,0.0,1.0,0.9999999996280701,external,0
relation:stack_wine:d3:false_coupling_perturbed:wine_bottle,stack_wine,single,3,false_coupling_perturbed,false_coupling,1,wine_bottle,external,0,65,2,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:stack_wine:d4:false_coupling_control:wine_bottle,stack_wine,single,4,false_coupling_control,false_coupling,0,wine_bottle,external,0,66,2,0,0,,0.0,0.0,0.0,1.0,0.9999999996281008,external,0
relation:stack_wine:d4:false_coupling_perturbed:wine_bottle,stack_wine,single,4,false_coupling_perturbed,false_coupling,1,wine_bottle,external,0,66,2,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:place_cups:d0:false_coupling_control:mug0,place_cups,single,0,false_coupling_control,false_coupling,0,mug0,external,0,49,2,0,0,,0.0,0.0,0.0,1.0,0.99999999962808,external,0
relation:place_cups:d0:false_coupling_perturbed:mug0,place_cups,single,0,false_coupling_perturbed,false_coupling,1,mug0,external,0,49,2,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:place_cups:d1:false_coupling_control:mug0,place_cups,single,1,false_coupling_control,false_coupling,0,mug0,external,0,39,2,0,0,,0.0,0.0,0.0,1.0,0.9999999996280753,external,0
relation:place_cups:d1:false_coupling_perturbed:mug0,place_cups,single,1,false_coupling_perturbed,false_coupling,1,mug0,external,0,39,2,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:place_cups:d2:false_coupling_control:mug0,place_cups,single,2,false_coupling_control,false_coupling,0,mug0,external,0,45,2,0,0,,0.0,0.0,0.0,1.0,0.99999999962808,external,0
relation:place_cups:d2:false_coupling_perturbed:mug0,place_cups,single,2,false_coupling_perturbed,false_coupling,1,mug0,external,0,45,2,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
