family,task,arm,scenario,trials,baseline_mae,proposed_mae,relative_mae_reduction,proposed_win_rate,proposed_no_plausible_cycle_rate,baseline_detection_rate,proposed_detection_rate,proposed_block_rate,median_detection_latency,active_expert_suppression_rate
progress,bimanual_handover_item,left,normal,5,0.0,0.0,0.0,0.0,0.0,,,,,
progress,bimanual_handover_item,left,skip,10,1.9843478260869567,0.12695652173913047,0.9360210341805434,1.0,0.0,,,,,
progress,bimanual_handover_item,left,stutter,10,3.0954545454545457,0.14090909090909093,0.9544787077826725,1.0,0.0,,,,,
progress,bimanual_handover_item,right,normal,5,0.0,0.02222222222222222,0.0,0.0,0.13333333333333333,,,,,
progress,bimanual_handover_item,right,skip,10,1.9843478260869567,0.11895652173913045,0.9400525854513585,1.0,0.17083333333333334,,,,,
progress,bimanual_handover_item,right,stutter,10,3.0954545454545457,0.09727272727272726,0.9685756240822321,1.0,0.11428571428571428,,,,,
progress,bimanual_lift_tray,left,normal,5,0.0,0.18518518518518517,0.0,0.0,0.0,,,,,
progress,bimanual_lift_tray,left,skip,10,1.9843478260869567,0.27252173913043476,0.8626643295354951,1.0,0.008333333333333333,,,,,
progress,bimanual_lift_tray,left,stutter,10,3.0954545454545457,0.23727272727272725,0.9233480176211454,1.0,0.0,,,,,
progress,bimanual_lift_tray,right,normal,5,0.0,0.2,0.0,0.0,0.0,,,,,
progress,bimanual_lift_tray,right,skip,10,1.9843478260869567,0.29756521739130426,0.8500438212094655,1.0,0.008333333333333333,,,,,
progress,bimanual_lift_tray,right,stutter,10,3.0954545454545457,0.2781818181818182,0.9101321585903084,1.0,0.0,,,,,
progress,bimanual_put_bottle_in_fridge,left,normal,5,0.0,0.007407407407407407,0.0,0.0,0.0,,,,,
progress,bimanual_put_bottle_in_fridge,left,skip,10,1.9843478260869567,0.13530434782608697,0.9318141980718668,1.0,0.0,,,,,
progress,bimanual_put_bottle_in_fridge,left,stutter,10,3.0954545454545457,0.14727272727272728,0.9524229074889867,1.0,0.0,,,,,
progress,bimanual_put_bottle_in_fridge,right,normal,5,0.0,0.037037037037037035,0.0,0.0,0.0,,,,,
progress,bimanual_put_bottle_in_fridge,right,skip,10,1.9843478260869567,0.17304347826086958,0.9127957931638913,1.0,0.0,,,,,
progress,bimanual_put_bottle_in_fridge,right,stutter,10,3.0954545454545457,0.1790909090909091,0.942143906020558,1.0,0.0,,,,,
progress,bimanual_sweep_to_dustpan,left,normal,5,0.0,0.0962962962962963,0.0,0.0,0.0,,,,,
progress,bimanual_sweep_to_dustpan,left,skip,10,1.9843478260869567,0.2354782608695652,0.8813321647677477,1.0,0.04583333333333333,,,,,
progress,bimanual_sweep_to_dustpan,left,stutter,10,3.0954545454545457,0.08272727272727273,0.9732745961820852,1.0,0.0,,,,,
progress,bimanual_sweep_to_dustpan,right,normal,5,0.0,0.0962962962962963,0.0,0.0,0.0,,,,,
progress,bimanual_sweep_to_dustpan,right,skip,10,1.9843478260869567,0.2354782608695652,0.8813321647677477,1.0,0.04583333333333333,,,,,
progress,bimanual_sweep_to_dustpan,right,stutter,10,3.0954545454545457,0.08272727272727273,0.9732745961820852,1.0,0.0,,,,,
