trial_id,task,arm,event,demonstration,goal,terminated,cycles,structured_failure,failure_reason
bounded:bimanual_handover_item/left:left:item0:k6:m0:unlink:0:d4,bimanual_handover_item,left,left:item0:k6:m0:unlink:0,4,unlink,1,3,1,unlink_detachment_timeout
bounded:bimanual_lift_tray/left:left:item:k2:m0:link:0:d0,bimanual_lift_tray,left,left:item:k2:m0:link:0,0,link,1,2,1,link_waypoint_timeout
bounded:bimanual_lift_tray/left:left:item:k2:m0:link:0:d1,bimanual_lift_tray,left,left:item:k2:m0:link:0,1,link,1,2,1,link_waypoint_timeout
bounded:bimanual_lift_tray/left:left:item:k2:m0:link:0:d2,bimanual_lift_tray,left,left:item:k2:m0:link:0,2,link,1,2,1,link_waypoint_timeout
bounded:bimanual_lift_tray/left:left:item:k2:m0:link:0:d3,bimanual_lift_tray,left,left:item:k2:m0:link:0,3,link,1,2,1,link_waypoint_timeout
bounded:bimanual_lift_tray/left:left:item:k2:m0:link:0:d4,bimanual_lift_tray,left,left:item:k2:m0:link:0,4,link,1,2,1,link_waypoint_timeout
bounded:bimanual_lift_tray/left:left:tray:k2:m0:link:0:d0,bimanual_lift_tray,left,left:tray:k2:m0:link:0,0,link,1,2,1,link_waypoint_timeout
bounded:bimanual_lift_tray/left:left:tray:k2:m0:link:0:d1,bimanual_lift_tray,left,left:tray:k2:m0:link:0,1,link,1,2,1,link_waypoint_timeout
bounded:bimanual_lift_tray/left:left:tray:k2:m0:link:0:d2,bimanual_lift_tray,left,left:tray:k2:m0:link:0,2,link,1,2,1,link_waypoint_timeout
bounded:bimanual_lift_tray/left:left:tray:k2:m0:link:0:d3,bimanual_lift_tray,left,left:tray:k2:m0:link:0,3,link,1,2,1,link_waypoint_timeout
bounded:bimanual_lift_tray/left:left:tray:k2:m0:link:0:d4,bimanual_lift_tray,left,left:tray:k2:m0:link:0,4,link,1,2,1,link_waypoint_timeout
bounded:bimanual_lift_tray/right:right:item:k2:m0:link:0:d0,bimanual_lift_tray,right,right:item:k2:m0:link:0,0,link,1,2,1,link_waypoint_timeout
bounded:bimanual_lift_tray/right:right:item:k2:m0:link:0:d1,bimanual_lift_tray,right,right:item:k2:m0:link:0,1,link,1,2,1,link_waypoint_timeout
bounded:bimanual_lift_tray/right:right:item:k2:m0:link:0:d2,bimanual_lift_tray,right,right:item:k2:m0:link:0,2,link,1,2,1,link_waypoint_timeout
bounded:bimanual_lift_tray/right:right:item:k2:m0:link:0:d3,bimanual_lift_tray,right,right:item:k2:m0:link:0,3,link,1,2,1,link_waypoint_timeout
bounded:bimanual_lift_tray/right:right:item:k2:m0:link:0:d4,bimanual_lift_tray,right,right:item:k2:m0:link:0,4,link,1,2,1,link_waypoint_timeout
bounded:bimanual_lift_tray/right:right:tray:k2:m0:link:0:d0,bimanual_lift_tray,right,right:tray:k2:m0:link:0,0,link,1,2,1,link_waypoint_timeout
bounded:bimanual_lift_tray/right:right:tray:k2:m0:link:0:d1,bimanual_lift_tray,right,right:tray:k2:m0:link:0,1,link,1,2,1,link_waypoint_timeout
bounded:bimanual_lift_tray/right:right:tray:k2:m0:link:0:d2,bimanual_lift_tray,right,right:tray:k2:m0:link:0,2,link,1,2,1,link_waypoint_timeout
bounded:bimanual_lift_tray/right:right:tray:k2:m0:link:0:d3,bimanual_lift_tray,right,right:tray:k2:m0:link:0,3,link,1,2,1,link_waypoint_timeout
bounded:bimanual_lift_tray/right:right:tray:k2:m0:link:0:d4,bimanual_lift_tray,right,right:tray:k2:m0:link:0,4,link,1,2,1,link_waypoint_timeout
bounded:bimanual_put_bottle_in_fridge/left:left:bottle:k1:m0:link:0:d0,bimanual_put_bottle_in_fridge,left,left:bottle:k1:m0:link:0,0,link,1,2,1,link_waypoint_timeout
bounded:bimanual_put_bottle_in_fridge/left:left:bottle:k1:m0:link:0:d1,bimanual_put_bottle_in_fridge,left,left:bottle:k1:m0:link:0,1,link,1,2,1,link_waypoint_timeout
bounded:bimanual_put_bottle_in_fridge/left:left:bottle:k1:m0:link:0:d2,bimanual_put_bottle_in_fridge,left,left:bottle:k1:m0:link:0,2,link,1,2,1,link_waypoint_timeout
