trial_id,task,arm,demonstration,scenario,intervention,perturbed,frame,expected_relation,skill_index,anchor_local_index,horizon_ticks,baseline_detection,proposed_detection,proposed_detection_latency,proposed_recover_rate,proposed_defer_rate,proposed_block_rate,baseline_active_rate,proposed_mean_weight,proposed_final_relation,baseline_active_expert_suppressed
relation:place_cups:d1:false_coupling_perturbed:mug0,place_cups,single,1,false_coupling_perturbed,false_coupling,1,mug0,external,0,32,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:place_cups:d2:break_link_control:mug0,place_cups,single,2,break_link_control,break_link,0,mug0,linked,4,9,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:place_cups:d2:break_link_perturbed:mug0,place_cups,single,2,break_link_perturbed,break_link,1,mug0,linked,4,9,12,0,1,1,0.9166666666666666,0.08333333333333333,1.0,0.0,0.0,external,0
relation:place_cups:d2:false_coupling_control:mug0,place_cups,single,2,false_coupling_control,false_coupling,0,mug0,external,0,40,12,0,0,,0.0,0.0,0.0,1.0,0.9999956172263418,external,0
relation:place_cups:d2:false_coupling_perturbed:mug0,place_cups,single,2,false_coupling_perturbed,false_coupling,1,mug0,external,0,40,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:place_cups:d3:break_link_control:mug0,place_cups,single,3,break_link_control,break_link,0,mug0,linked,3,53,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:place_cups:d3:break_link_perturbed:mug0,place_cups,single,3,break_link_perturbed,break_link,1,mug0,linked,3,53,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:place_cups:d3:false_coupling_control:mug0,place_cups,single,3,false_coupling_control,false_coupling,0,mug0,external,0,39,12,0,0,,0.0,0.0,0.0,1.0,0.9999956171680614,external,0
relation:place_cups:d3:false_coupling_perturbed:mug0,place_cups,single,3,false_coupling_perturbed,false_coupling,1,mug0,external,0,39,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:place_cups:d4:break_link_control:mug0,place_cups,single,4,break_link_control,break_link,0,mug0,linked,3,16,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:place_cups:d4:break_link_perturbed:mug0,place_cups,single,4,break_link_perturbed,break_link,1,mug0,linked,3,16,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:place_cups:d4:false_coupling_control:mug0,place_cups,single,4,false_coupling_control,false_coupling,0,mug0,external,0,43,12,0,0,,0.0,0.0,0.0,1.0,0.9999956172255167,external,0
relation:place_cups:d4:false_coupling_perturbed:mug0,place_cups,single,4,false_coupling_perturbed,false_coupling,1,mug0,external,0,43,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:open_microwave:d0:break_link_control:microwave_door,open_microwave,single,0,break_link_control,break_link,0,microwave_door,linked,2,28,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:open_microwave:d0:break_link_perturbed:microwave_door,open_microwave,single,0,break_link_perturbed,break_link,1,microwave_door,linked,2,28,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:open_microwave:d0:false_coupling_control:microwave_door,open_microwave,single,0,false_coupling_control,false_coupling,0,microwave_door,external,0,71,12,0,0,,0.0,0.0,0.0,1.0,0.9999891167328702,external,0
relation:open_microwave:d0:false_coupling_perturbed:microwave_door,open_microwave,single,0,false_coupling_perturbed,false_coupling,1,microwave_door,external,0,71,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:open_microwave:d1:break_link_control:microwave_door,open_microwave,single,1,break_link_control,break_link,0,microwave_door,linked,2,29,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:open_microwave:d1:break_link_perturbed:microwave_door,open_microwave,single,1,break_link_perturbed,break_link,1,microwave_door,linked,2,29,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:open_microwave:d1:false_coupling_control:microwave_door,open_microwave,single,1,false_coupling_control,false_coupling,0,microwave_door,external,0,77,12,0,0,,0.0,0.0,0.0,1.0,0.9999856305482909,external,0
relation:open_microwave:d1:false_coupling_perturbed:microwave_door,open_microwave,single,1,false_coupling_perturbed,false_coupling,1,microwave_door,external,0,77,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:open_microwave:d2:break_link_control:microwave_door,open_microwave,single,2,break_link_control,break_link,0,microwave_door,linked,2,28,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:open_microwave:d2:break_link_perturbed:microwave_door,open_microwave,single,2,break_link_perturbed,break_link,1,microwave_door,linked,2,28,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:open_microwave:d2:false_coupling_control:microwave_door,open_microwave,single,2,false_coupling_control,false_coupling,0,microwave_door,external,0,73,12,0,0,,0.0,0.0,0.0,1.0,0.9999780126514984,external,0
relation:open_microwave:d2:false_coupling_perturbed:microwave_door,open_microwave,single,2,false_coupling_perturbed,false_coupling,1,microwave_door,external,0,73,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:open_microwave:d3:break_link_control:microwave_door,open_microwave,single,3,break_link_control,break_link,0,microwave_door,linked,2,11,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:open_microwave:d3:break_link_perturbed:microwave_door,open_microwave,single,3,break_link_perturbed,break_link,1,microwave_door,linked,2,11,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:open_microwave:d3:false_coupling_control:microwave_door,open_microwave,single,3,false_coupling_control,false_coupling,0,microwave_door,external,0,84,12,0,0,,0.0,0.0,0.0,1.0,0.9999697757860462,external,0
relation:open_microwave:d3:false_coupling_perturbed:microwave_door,open_microwave,single,3,false_coupling_perturbed,false_coupling,1,microwave_door,external,0,84,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:open_microwave:d4:break_link_control:microwave_door,open_microwave,single,4,break_link_control,break_link,0,microwave_door,linked,2,37,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:open_microwave:d4:break_link_perturbed:microwave_door,open_microwave,single,4,break_link_perturbed,break_link,1,microwave_door,linked,2,37,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:open_microwave:d4:false_coupling_control:microwave_door,open_microwave,single,4,false_coupling_control,false_coupling,0,microwave_door,external,0,70,12,0,0,,0.0,0.0,0.0,1.0,0.9999854826008828,external,0
relation:open_microwave:d4:false_coupling_perturbed:microwave_door,open_microwave,single,4,false_coupling_perturbed,false_coupling,1,microwave_door,external,0,70,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:wipe_desk:d0:break_link_control:sponge,wipe_desk,single,0,break_link_control,break_link,0,sponge,linked,2,106,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:wipe_desk:d0:break_link_perturbed:sponge,wipe_desk,single,0,break_link_perturbed,break_link,1,sponge,linked,2,106,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:wipe_desk:d0:false_coupling_control:sponge,wipe_desk,single,0,false_coupling_control,false_coupling,0,sponge,external,0,41,12,0,0,,0.0,0.0,0.0,1.0,0.9987500972501975,external,0
relation:wipe_desk:d0:false_coupling_perturbed:sponge,wipe_desk,single,0,false_coupling_perturbed,false_coupling,1,sponge,external,0,41,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:wipe_desk:d1:break_link_control:sponge,wipe_desk,single,1,break_link_control,break_link,0,sponge,linked,2,128,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:wipe_desk:d1:break_link_perturbed:sponge,wipe_desk,single,1,break_link_perturbed,break_link,1,sponge,linked,2,128,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:wipe_desk:d1:false_coupling_control:sponge,wipe_desk,single,1,false_coupling_control,false_coupling,0,sponge,external,0,35,12,0,0,,0.0,0.0,0.0,1.0,0.9999956172264038,external,0
relation:wipe_desk:d1:false_coupling_perturbed:sponge,wipe_desk,single,1,false_coupling_perturbed,false_coupling,1,sponge,external,0,35,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:wipe_desk:d2:break_link_control:sponge,wipe_desk,single,2,break_link_control,break_link,0,sponge,linked,2,128,12,0,0,,0.0,0.08333333333333333,0.0,0.0,0.0,linked,0
relation:wipe_desk:d2:break_link_perturbed:sponge,wipe_desk,single,2,break_link_perturbed,break_link,1,sponge,linked,2,128,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:wipe_desk:d2:false_coupling_control:sponge,wipe_desk,single,2,false_coupling_control,false_coupling,0,sponge,external,0,37,12,0,0,,0.0,0.0,0.0,1.0,0.9999956172255658,external,0
relation:wipe_desk:d2:false_coupling_perturbed:sponge,wipe_desk,single,2,false_coupling_perturbed,false_coupling,1,sponge,external,0,37,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:wipe_desk:d3:break_link_control:sponge,wipe_desk,single,3,break_link_control,break_link,0,sponge,linked,2,126,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:wipe_desk:d3:break_link_perturbed:sponge,wipe_desk,single,3,break_link_perturbed,break_link,1,sponge,linked,2,126,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:wipe_desk:d3:false_coupling_control:sponge,wipe_desk,single,3,false_coupling_control,false_coupling,0,sponge,external,0,38,12,0,0,,0.0,0.0,0.0,1.0,0.9999953459417933,external,0
relation:wipe_desk:d3:false_coupling_perturbed:sponge,wipe_desk,single,3,false_coupling_perturbed,false_coupling,1,sponge,external,0,38,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:wipe_desk:d4:break_link_control:sponge,wipe_desk,single,4,break_link_control,break_link,0,sponge,linked,2,46,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:wipe_desk:d4:break_link_perturbed:sponge,wipe_desk,single,4,break_link_perturbed,break_link,1,sponge,linked,2,46,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:wipe_desk:d4:false_coupling_control:sponge,wipe_desk,single,4,false_coupling_control,false_coupling,0,sponge,external,0,47,12,0,0,,0.0,0.0,0.0,1.0,0.9999956172265705,external,0
relation:wipe_desk:d4:false_coupling_perturbed:sponge,wipe_desk,single,4,false_coupling_perturbed,false_coupling,1,sponge,external,0,47,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
