task,arm,boundary,transaction_group,normal_demonstrations,positive_support_separated,normal_terminal_score_floor,normal_preterminal_score_ceiling,local_score_threshold,maximum_preterminal_ready_run,confirmation_cycles,confirmation_seconds,minimum_terminal_hold_ready_run,status
bimanual_lift_tray,right,right:0->1,,5,0,0.0004453216432856559,0.02933711808753221,0.00035625731462852475,1,2,0.1,41,calibrated
bimanual_lift_tray,right,right:1->2,joint:left-k1-to-2:right-k1-to-2:item-tray,5,0,0.0011923906283697635,0.0026093647570711105,0.0009539125026958109,1,2,0.1,41,calibrated
bimanual_put_bottle_in_fridge,left,left:0->1,,5,1,0.6980918530066952,1.1671634015219698e-06,0.34904651008504833,0,1,0.05,41,calibrated
bimanual_put_bottle_in_fridge,left,left:1->2,,5,1,0.22895623578870286,3.634867640426402e-11,0.11447811791252577,0,1,0.05,41,calibrated
bimanual_put_bottle_in_fridge,right,right:0->1,,5,1,0.9823014147750653,4.240594031347419e-110,0.49115070738753264,0,1,0.05,41,calibrated
bimanual_put_bottle_in_fridge,right,right:1->2,,5,1,0.8262519397709799,6.920237773968327e-38,0.41312596988548994,0,1,0.05,41,calibrated
bimanual_sweep_to_dustpan,left,left:0->1,,5,1,0.9753257281195946,2.273338823066359e-11,0.487662864071164,0,1,0.05,41,calibrated
bimanual_sweep_to_dustpan,left,left:1->2,,5,1,0.9943400744518457,1.2132537189504577e-132,0.49717003722592285,0,1,0.05,41,calibrated
bimanual_sweep_to_dustpan,left,left:2->3,,5,1,0.997214357973017,0.15442890560623407,0.5758216317896255,0,1,0.05,41,calibrated
bimanual_sweep_to_dustpan,left,left:3->4,,5,1,0.4998813922378329,0.014502969533232326,0.25719218088553264,0,1,0.05,41,calibrated
bimanual_sweep_to_dustpan,right,right:0->1,,5,1,2.2386647819883643e-09,3.555902016595126e-41,1.1193323909941822e-09,0,1,0.05,41,calibrated
bimanual_sweep_to_dustpan,right,right:1->2,,5,1,0.0011899960230292834,4.5159045272991755e-11,0.0005949980340941644,0,1,0.05,41,calibrated
bimanual_sweep_to_dustpan,right,right:2->3,,5,1,0.028116658255746718,2.881782610739799e-09,0.014058330568764665,0,1,0.05,41,calibrated
bimanual_sweep_to_dustpan,right,right:3->4,,5,1,0.6175425524379169,0.15921544333086107,0.388378997884389,0,1,0.05,41,calibrated
open_microwave,single,single:0->1,,5,1,0.009967675769939498,1.616521865397892e-14,0.004983837884977832,0,1,0.05,41,calibrated
open_microwave,single,single:1->2,,5,1,0.013233251013172253,3.932614411156409e-47,0.0066166255065861265,0,1,0.05,41,calibrated
place_cups,single,single:0->1,,5,1,2.9026902081877078e-05,3.0946584827348754e-91,1.4513451040938539e-05,0,1,0.05,41,calibrated
place_cups,single,single:1->2,,5,1,0.7127131278125036,8.00916546671658e-13,0.35635656390665227,0,1,0.05,41,calibrated
place_cups,single,single:2->3,,5,1,0.037055091059831076,0.002596191922875295,0.019825641491353185,0,1,0.05,41,calibrated
place_cups,single,single:3->4,,5,1,0.33393834474790407,0.0012118924986632364,0.16757511862328364,0,1,0.05,41,calibrated
stack_wine,single,single:0->1,,5,1,0.18778491100183864,1.1005956450912661e-68,0.09389245550091932,0,1,0.05,41,calibrated
stack_wine,single,single:1->2,,5,1,0.8052910993056697,2.3379906509516507e-28,0.40264554965283483,0,1,0.05,41,calibrated
stack_wine,single,single:2->3,,5,1,0.028847830690264722,0.0018995195881952526,0.015373675139229987,0,1,0.05,41,calibrated
wipe_desk,single,single:0->1,,5,1,0.7601991284891413,6.108158949290009e-14,0.3800995642446012,0,1,0.05,41,calibrated
wipe_desk,single,single:1->2,,5,0,0.04420271396757165,0.21382993746124598,0.03536217117405732,2,3,0.15000000000000002,41,calibrated
wipe_desk,single,single:2->3,,5,1,0.28743599563468464,3.2686627520806574e-68,0.14371799781734232,0,1,0.05,41,calibrated
