task,arm,boundary,transaction_group,normal_demonstrations,positive_support_separated,normal_terminal_score_floor,normal_preterminal_score_ceiling,local_score_threshold,maximum_preterminal_ready_run,confirmation_cycles,confirmation_seconds,minimum_terminal_hold_ready_run,status
bimanual_handover_item,left,left:0->1,,5,0,1.2020626094871184e-07,1.625180620259757e-05,9.616500875896948e-08,1,2,0.1,41,calibrated
bimanual_handover_item,left,left:1->2,,5,0,0.010490727450285326,0.02972139424234248,0.008392581960228261,1,2,0.1,41,calibrated
bimanual_handover_item,left,left:2->3,,5,0,0.0017855350789292858,0.07569141264648446,0.0014284280631434287,1,2,0.1,41,calibrated
bimanual_handover_item,left,left:3->4,,5,1,0.015156286341216945,1.7589503785950515e-16,0.00757814317060856,0,1,0.05,41,calibrated
bimanual_handover_item,left,left:4->5,,5,0,0.00012124600586020076,0.001229693634504495,9.699680468816062e-05,1,2,0.1,41,calibrated
bimanual_handover_item,left,left:5->6,,5,1,0.831906382473604,0.16318052269731506,0.49754345258545957,0,1,0.05,41,calibrated
bimanual_handover_item,right,right:0->1,,5,0,0.0014493455056509507,0.23013162881024635,0.0011594764045207606,1,2,0.1,41,calibrated
bimanual_handover_item,right,right:1->2,,5,1,0.5363934710839877,0.147853931639115,0.34212370136155135,0,1,0.05,41,calibrated
bimanual_handover_item,right,right:2->3,,5,1,0.9980031220355731,0.15435684164293162,0.5761799818392523,0,1,0.05,41,calibrated
bimanual_handover_item,right,right:3->4,,5,1,0.9984808662579171,0.15478781133176978,0.5766343387948434,0,1,0.05,41,calibrated
bimanual_handover_item,right,right:4->5,,5,1,0.9978333996539942,0.1548828667215306,0.5763581331877624,0,1,0.05,41,calibrated
bimanual_handover_item,right,right:5->6,,5,1,0.29510454404131,0.04478147051900815,0.16994300728015907,0,1,0.05,41,calibrated
bimanual_lift_tray,left,left:0->1,,5,0,0.0002972005708168801,0.2347232130542436,0.0002377604566535041,1,2,0.1,41,calibrated
bimanual_lift_tray,left,left:1->2,joint:left-k1-to-2:right-k1-to-2:item-tray,5,0,0.0018279280518040725,0.012664182856623733,0.001462342441443258,1,2,0.1,41,calibrated
