trial_id,task,arm,demonstration,scenario,magnitude,skill_index,anchor_local_index,ticks,baseline_mae,proposed_mae,mae_improvement,baseline_exact_rate,proposed_exact_rate,baseline_final_error,proposed_final_error,proposed_no_plausible_cycles,proposed_wins
progress:place_cups:d2:normal:m0,place_cups,single,2,normal,0,3,29,27,0.0,0.48148148148148145,-0.48148148148148145,1.0,0.6666666666666666,0.0,2.0,0,0
progress:place_cups:d2:stutter:m3,place_cups,single,2,stutter,3,3,29,30,2.1,2.3666666666666667,-0.2666666666666666,0.26666666666666666,0.26666666666666666,3.0,4.0,0,0
progress:place_cups:d2:stutter:m6,place_cups,single,2,stutter,6,3,29,33,4.090909090909091,4.0,0.09090909090909083,0.24242424242424243,0.24242424242424243,6.0,5.0,0,1
progress:place_cups:d2:skip:m2,place_cups,single,2,skip,2,3,29,25,1.36,0.92,0.44000000000000006,0.32,0.44,2.0,0.0,0,1
progress:place_cups:d2:skip:m4,place_cups,single,2,skip,4,3,29,23,2.608695652173913,2.260869565217391,0.34782608695652195,0.34782608695652173,0.34782608695652173,4.0,2.0,0,1
progress:place_cups:d3:normal:m0,place_cups,single,3,normal,0,3,29,27,0.0,0.8148148148148148,-0.8148148148148148,1.0,0.4444444444444444,0.0,3.0,0,0
progress:place_cups:d3:stutter:m3,place_cups,single,3,stutter,3,3,29,30,2.1,1.0333333333333334,1.0666666666666667,0.26666666666666666,0.4,3.0,2.0,0,1
progress:place_cups:d3:stutter:m6,place_cups,single,3,stutter,6,3,29,33,4.090909090909091,2.272727272727273,1.818181818181818,0.24242424242424243,0.3333333333333333,6.0,0.0,0,1
progress:place_cups:d3:skip:m2,place_cups,single,3,skip,2,3,29,25,1.36,1.76,-0.3999999999999999,0.32,0.32,2.0,4.0,0,0
progress:place_cups:d3:skip:m4,place_cups,single,3,skip,4,3,29,23,2.608695652173913,2.739130434782609,-0.1304347826086958,0.34782608695652173,0.34782608695652173,4.0,5.0,0,0
progress:place_cups:d4:normal:m0,place_cups,single,4,normal,0,3,29,27,0.0,1.0740740740740742,-1.0740740740740742,1.0,0.2962962962962963,0.0,2.0,0,0
progress:place_cups:d4:stutter:m3,place_cups,single,4,stutter,3,3,29,30,2.1,1.2333333333333334,0.8666666666666667,0.26666666666666666,0.3,3.0,1.0,0,1
progress:place_cups:d4:stutter:m6,place_cups,single,4,stutter,6,3,29,33,4.090909090909091,3.272727272727273,0.8181818181818179,0.24242424242424243,0.12121212121212122,6.0,1.0,4,1
progress:place_cups:d4:skip:m2,place_cups,single,4,skip,2,3,29,25,1.36,1.92,-0.5599999999999998,0.32,0.16,2.0,3.0,0,0
progress:place_cups:d4:skip:m4,place_cups,single,4,skip,4,3,29,23,2.608695652173913,2.739130434782609,-0.1304347826086958,0.34782608695652173,0.17391304347826086,4.0,4.0,0,0
progress:open_microwave:d0:normal:m0,open_microwave,single,0,normal,0,0,45,27,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
progress:open_microwave:d0:stutter:m3,open_microwave,single,0,stutter,3,0,45,30,2.1,0.26666666666666666,1.8333333333333335,0.26666666666666666,0.8,3.0,0.0,0,1
progress:open_microwave:d0:stutter:m6,open_microwave,single,0,stutter,6,0,45,33,4.090909090909091,0.696969696969697,3.3939393939393936,0.24242424242424243,0.6666666666666666,6.0,0.0,0,1
progress:open_microwave:d0:skip:m2,open_microwave,single,0,skip,2,0,45,25,1.36,0.04,1.32,0.32,0.96,2.0,0.0,0,1
progress:open_microwave:d0:skip:m4,open_microwave,single,0,skip,4,0,45,23,2.608695652173913,0.2608695652173913,2.347826086956522,0.34782608695652173,0.8260869565217391,4.0,0.0,0,1
progress:open_microwave:d1:normal:m0,open_microwave,single,1,normal,0,0,45,27,0.0,0.48148148148148145,-0.48148148148148145,1.0,0.5185185185185185,0.0,1.0,0,0
progress:open_microwave:d1:stutter:m3,open_microwave,single,1,stutter,3,0,45,30,2.1,0.6666666666666666,1.4333333333333336,0.26666666666666666,0.4,3.0,1.0,0,1
progress:open_microwave:d1:stutter:m6,open_microwave,single,1,stutter,6,0,45,33,4.090909090909091,1.0303030303030303,3.0606060606060606,0.24242424242424243,0.3333333333333333,6.0,1.0,0,1
progress:open_microwave:d1:skip:m2,open_microwave,single,1,skip,2,0,45,25,1.36,0.56,0.8,0.32,0.44,2.0,1.0,0,1
progress:open_microwave:d1:skip:m4,open_microwave,single,1,skip,4,0,45,23,2.608695652173913,0.7391304347826086,1.8695652173913044,0.34782608695652173,0.34782608695652173,4.0,1.0,0,1
progress:open_microwave:d2:normal:m0,open_microwave,single,2,normal,0,0,45,27,0.0,0.0,0.0,1.0,1.0,0.0,0.0,27,0
progress:open_microwave:d2:stutter:m3,open_microwave,single,2,stutter,3,0,45,30,2.1,0.7,1.4000000000000001,0.26666666666666666,0.3,3.0,1.0,27,1
progress:open_microwave:d2:stutter:m6,open_microwave,single,2,stutter,6,0,45,33,4.090909090909091,2.0,2.090909090909091,0.24242424242424243,0.2727272727272727,6.0,3.0,27,1
progress:open_microwave:d2:skip:m2,open_microwave,single,2,skip,2,0,45,25,1.36,1.36,0.0,0.32,0.32,2.0,2.0,25,0
progress:open_microwave:d2:skip:m4,open_microwave,single,2,skip,4,0,45,23,2.608695652173913,2.608695652173913,0.0,0.34782608695652173,0.34782608695652173,4.0,4.0,23,0
progress:open_microwave:d3:normal:m0,open_microwave,single,3,normal,0,0,45,27,0.0,0.4444444444444444,-0.4444444444444444,1.0,0.5555555555555556,0.0,0.0,0,0
progress:open_microwave:d3:stutter:m3,open_microwave,single,3,stutter,3,0,45,30,2.1,0.36666666666666664,1.7333333333333334,0.26666666666666666,0.6333333333333333,3.0,0.0,0,1
progress:open_microwave:d3:stutter:m6,open_microwave,single,3,stutter,6,0,45,33,4.090909090909091,0.48484848484848486,3.606060606060606,0.24242424242424243,0.5757575757575758,6.0,0.0,0,1
progress:open_microwave:d3:skip:m2,open_microwave,single,3,skip,2,0,45,25,1.36,0.52,0.8400000000000001,0.32,0.56,2.0,0.0,0,1
progress:open_microwave:d3:skip:m4,open_microwave,single,3,skip,4,0,45,23,2.608695652173913,0.6086956521739131,2.0,0.34782608695652173,0.5217391304347826,4.0,0.0,0,1
progress:open_microwave:d4:normal:m0,open_microwave,single,4,normal,0,0,45,27,0.0,0.0,0.0,1.0,1.0,0.0,0.0,27,0
progress:open_microwave:d4:stutter:m3,open_microwave,single,4,stutter,3,0,45,30,2.1,2.1,0.0,0.26666666666666666,0.26666666666666666,3.0,3.0,27,0
progress:open_microwave:d4:stutter:m6,open_microwave,single,4,stutter,6,0,45,33,4.090909090909091,2.8181818181818183,1.2727272727272725,0.24242424242424243,0.24242424242424243,6.0,4.0,27,1
progress:open_microwave:d4:skip:m2,open_microwave,single,4,skip,2,0,45,25,1.36,1.36,0.0,0.32,0.32,2.0,2.0,25,0
progress:open_microwave:d4:skip:m4,open_microwave,single,4,skip,4,0,45,23,2.608695652173913,2.608695652173913,0.0,0.34782608695652173,0.34782608695652173,4.0,4.0,23,0
progress:wipe_desk:d0:normal:m0,wipe_desk,single,0,normal,0,2,66,27,0.0,2.111111111111111,-2.111111111111111,1.0,0.1111111111111111,0.0,3.0,0,0
progress:wipe_desk:d0:stutter:m3,wipe_desk,single,0,stutter,3,2,66,30,2.1,2.7666666666666666,-0.6666666666666665,0.26666666666666666,0.1,3.0,3.0,0,0
