family,task,arm,scenario,trials,baseline_mae,proposed_mae,relative_mae_reduction,proposed_win_rate,proposed_no_plausible_cycle_rate,baseline_detection_rate,proposed_detection_rate,proposed_block_rate,median_detection_latency,active_expert_suppression_rate
relation,bimanual_lift_tray,right,false_coupling_perturbed,5,,,,,,0.0,1.0,1.0,0.0,1.0
relation,bimanual_put_bottle_in_fridge,left,break_link_control,5,,,,,,0.0,0.0,0.016666666666666666,,0.0
relation,bimanual_put_bottle_in_fridge,left,break_link_perturbed,5,,,,,,0.0,1.0,1.0,0.0,0.0
relation,bimanual_put_bottle_in_fridge,left,false_coupling_control,5,,,,,,0.0,0.0,0.06666666666666667,,0.0
relation,bimanual_put_bottle_in_fridge,left,false_coupling_perturbed,5,,,,,,0.0,1.0,1.0,0.0,1.0
relation,bimanual_sweep_to_dustpan,left,break_link_control,5,,,,,,0.0,0.0,0.0,,0.0
relation,bimanual_sweep_to_dustpan,left,break_link_perturbed,5,,,,,,0.0,1.0,1.0,0.0,0.0
relation,bimanual_sweep_to_dustpan,left,false_coupling_control,5,,,,,,0.0,0.0,0.0,,0.0
relation,bimanual_sweep_to_dustpan,left,false_coupling_perturbed,5,,,,,,0.0,1.0,1.0,0.0,1.0
relation,bimanual_sweep_to_dustpan,right,false_coupling_control,5,,,,,,0.0,0.0,0.0,,0.0
relation,bimanual_sweep_to_dustpan,right,false_coupling_perturbed,5,,,,,,0.0,1.0,1.0,0.0,1.0
relation,open_microwave,single,break_link_control,5,,,,,,0.0,0.0,0.03333333333333333,,0.0
relation,open_microwave,single,break_link_perturbed,5,,,,,,0.0,1.0,0.9833333333333332,0.0,0.0
relation,open_microwave,single,false_coupling_control,5,,,,,,0.0,0.0,0.0,,0.0
relation,open_microwave,single,false_coupling_perturbed,5,,,,,,0.0,1.0,1.0,0.0,1.0
relation,place_cups,single,break_link_control,5,,,,,,0.0,0.0,0.06666666666666667,,0.0
relation,place_cups,single,break_link_perturbed,5,,,,,,0.0,1.0,0.95,0.0,0.0
