task,arm,boundary,demonstrations,source_duration,terminal_window_size,terminal_no_plausible_rate,final_no_plausible_count,final_estimated_in_terminal_count,final_valid_endpoint_count,final_end_probability_minimum,final_end_probability_median,terminal_end_probability_minimum,nonterminal_end_probability_maximum,progress_separation_margin,progress_endpoint_ready,progress_separable,goal_count,goal_observed_rate,goal_support_rate,goal_minimum_compatibility,goal_minimum_log_margin,own_relation_count,own_relation_observed_rate,own_relation_stable_rate,own_relation_match_rate,own_relation_minimum_target_probability,guard_relation_count,guard_relation_observed_rate,guard_relation_stable_rate,guard_relation_match_rate,guard_relation_minimum_target_probability,guard_scene_count,guard_scene_observed_rate,guard_scene_support_rate,minimum_local_ready_streak,theta_inputs_ready,h_inputs_ready,guard_inputs_ready,readiness
bimanual_lift_tray,right,right:0->1,5,63,3,0.0,0,5,5,0.9999999999999999,1.0,0.18612973398070748,0.3416881134129926,-0.15555837943228512,1,0,2,1.0,1.0,0.002812627261971371,0.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1,1,0,1,ready_theta_limited_h
bimanual_lift_tray,right,right:1->2,5,18,3,0.0,0,5,5,1.0,1.0,0.6778434553965531,0.1681952106685357,0.5096482447280174,1,1,1,1.0,1.0,0.0014653059498082838,0.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1,1,0,1,ready_theta_limited_h
bimanual_put_bottle_in_fridge,left,left:0->1,5,115,3,0.0,0,5,5,0.9999999999999999,1.0,0.8544887851865265,0.17944673389821575,0.6750420512883107,1,1,2,1.0,1.0,0.009571961430569436,0.0,0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,0.9837273470148066,0,1.0,1.0,1,1,0,1,ready_theta_limited_h
bimanual_put_bottle_in_fridge,left,left:1->2,5,158,3,0.0,0,5,5,0.9999999999999999,0.9999999999999999,0.2634676669668635,0.01808037184073026,0.24538729512613328,1,1,4,1.0,1.0,0.0014024917579700726,0.0,1,1.0,1.0,1.0,0.9907700736178318,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1,1,0,1,ready_theta_limited_h
bimanual_put_bottle_in_fridge,right,right:0->1,5,113,3,0.0,0,5,5,1.0,1.0,0.9717008623974687,0.7594298578555523,0.21227100454191639,1,1,2,1.0,1.0,0.9903090800730534,0.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1,1,0,1,ready_theta_limited_h
bimanual_put_bottle_in_fridge,right,right:1->2,5,51,3,0.0,0,5,5,1.0,1.0,0.9999999999977874,3.4391515422456915e-12,0.9999999999943483,1,1,2,1.0,1.0,0.8168466978408429,0.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,2,1,1,1,ready_for_calibration
bimanual_sweep_to_dustpan,left,left:0->1,5,64,3,0.0,0,5,5,0.9999999999999999,1.0,0.032746946090520514,0.11766253966836906,-0.08491559357784856,1,0,4,1.0,1.0,0.000528414923646396,0.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1,1,0,1,ready_theta_limited_h
bimanual_sweep_to_dustpan,left,left:1->2,5,12,3,0.0,0,5,5,0.9999999999999999,1.0,0.9606407033231292,1.5159503154877613e-10,0.9606407031715342,1,1,1,1.0,1.0,0.9943429218759435,0.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1,1,0,1,ready_theta_limited_h
bimanual_sweep_to_dustpan,left,left:2->3,5,8,3,0.0,0,5,5,1.0,1.0,0.8555291978748285,0.1545994451428014,0.7009297527320271,1,1,1,1.0,1.0,0.9972149207423594,0.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1,1,0,1,ready_theta_limited_h
bimanual_sweep_to_dustpan,left,left:3->4,5,24,3,0.0,0,5,5,1.0,1.0,0.671113355114592,0.1729884243361707,0.49812493077842135,1,1,1,1.0,1.0,0.7375406569964654,0.0,1,1.0,1.0,1.0,0.9822021535782098,0,1.0,1.0,1.0,1.0,0,1.0,1.0,1,1,0,1,ready_theta_limited_h
