task,arm,boundary,demonstration,maximum_preterminal_ready_run,terminal_hold_ready_run
bimanual_handover_item,left,left:0->1,0,1,41
bimanual_handover_item,left,left:0->1,1,0,41
bimanual_handover_item,left,left:0->1,2,1,41
bimanual_handover_item,left,left:0->1,3,0,41
bimanual_handover_item,left,left:0->1,4,1,41
bimanual_handover_item,left,left:1->2,0,0,41
bimanual_handover_item,left,left:1->2,1,0,41
bimanual_handover_item,left,left:1->2,2,1,41
bimanual_handover_item,left,left:1->2,3,1,41
bimanual_handover_item,left,left:1->2,4,0,41
bimanual_handover_item,left,left:2->3,0,0,41
bimanual_handover_item,left,left:2->3,1,1,41
bimanual_handover_item,left,left:2->3,2,0,41
bimanual_handover_item,left,left:2->3,3,1,41
bimanual_handover_item,left,left:2->3,4,1,41
bimanual_handover_item,left,left:3->4,0,0,41
bimanual_handover_item,left,left:3->4,1,0,41
bimanual_handover_item,left,left:3->4,2,0,41
bimanual_handover_item,left,left:3->4,3,0,41
bimanual_handover_item,left,left:3->4,4,0,41
bimanual_handover_item,left,left:4->5,0,0,41
bimanual_handover_item,left,left:4->5,1,0,41
bimanual_handover_item,left,left:4->5,2,0,41
bimanual_handover_item,left,left:4->5,3,0,41
bimanual_handover_item,left,left:4->5,4,1,41
bimanual_handover_item,left,left:5->6,0,0,41
bimanual_handover_item,left,left:5->6,1,0,41
bimanual_handover_item,left,left:5->6,2,1,41
bimanual_handover_item,left,left:5->6,3,0,41
bimanual_handover_item,left,left:5->6,4,0,41
bimanual_handover_item,right,right:0->1,0,0,41
bimanual_handover_item,right,right:0->1,1,1,41
bimanual_handover_item,right,right:0->1,2,0,41
bimanual_handover_item,right,right:0->1,3,0,41
bimanual_handover_item,right,right:0->1,4,0,41
bimanual_handover_item,right,right:1->2,0,1,41
bimanual_handover_item,right,right:1->2,1,0,41
bimanual_handover_item,right,right:1->2,2,1,41
bimanual_handover_item,right,right:1->2,3,1,41
bimanual_handover_item,right,right:1->2,4,0,41
bimanual_handover_item,right,right:2->3,0,0,41
bimanual_handover_item,right,right:2->3,1,0,41
bimanual_handover_item,right,right:2->3,2,0,41
bimanual_handover_item,right,right:2->3,3,0,41
bimanual_handover_item,right,right:2->3,4,0,41
bimanual_handover_item,right,right:3->4,0,0,41
bimanual_handover_item,right,right:3->4,1,0,41
bimanual_handover_item,right,right:3->4,2,0,41
bimanual_handover_item,right,right:3->4,3,0,41
bimanual_handover_item,right,right:3->4,4,0,41
bimanual_handover_item,right,right:4->5,0,0,41
bimanual_handover_item,right,right:4->5,1,0,41
bimanual_handover_item,right,right:4->5,2,0,41
bimanual_handover_item,right,right:4->5,3,0,41
bimanual_handover_item,right,right:4->5,4,0,41
bimanual_handover_item,right,right:5->6,0,0,41
bimanual_handover_item,right,right:5->6,1,0,41
bimanual_handover_item,right,right:5->6,2,0,41
bimanual_handover_item,right,right:5->6,3,0,41
bimanual_handover_item,right,right:5->6,4,0,41
bimanual_lift_tray,left,left:0->1,0,1,41
bimanual_lift_tray,left,left:0->1,1,0,41
bimanual_lift_tray,left,left:0->1,2,0,41
bimanual_lift_tray,left,left:0->1,3,0,41
bimanual_lift_tray,left,left:0->1,4,0,41
bimanual_lift_tray,left,left:1->2,0,0,41
bimanual_lift_tray,left,left:1->2,1,0,41
bimanual_lift_tray,left,left:1->2,2,0,41
bimanual_lift_tray,left,left:1->2,3,0,41
bimanual_lift_tray,left,left:1->2,4,1,41
bimanual_lift_tray,right,right:0->1,0,0,41
bimanual_lift_tray,right,right:0->1,1,0,41
bimanual_lift_tray,right,right:0->1,2,0,41
bimanual_lift_tray,right,right:0->1,3,1,41
bimanual_lift_tray,right,right:0->1,4,0,41
bimanual_lift_tray,right,right:1->2,0,1,41
bimanual_lift_tray,right,right:1->2,1,0,41
bimanual_lift_tray,right,right:1->2,2,1,41
bimanual_lift_tray,right,right:1->2,3,0,41
bimanual_lift_tray,right,right:1->2,4,0,41
bimanual_put_bottle_in_fridge,left,left:0->1,0,0,41
bimanual_put_bottle_in_fridge,left,left:0->1,1,0,41
bimanual_put_bottle_in_fridge,left,left:0->1,2,0,41
bimanual_put_bottle_in_fridge,left,left:0->1,3,0,41
bimanual_put_bottle_in_fridge,left,left:0->1,4,0,41
bimanual_put_bottle_in_fridge,left,left:1->2,0,0,41
bimanual_put_bottle_in_fridge,left,left:1->2,1,0,41
bimanual_put_bottle_in_fridge,left,left:1->2,2,0,41
bimanual_put_bottle_in_fridge,left,left:1->2,3,0,41
bimanual_put_bottle_in_fridge,left,left:1->2,4,0,41
bimanual_put_bottle_in_fridge,right,right:0->1,0,0,41
bimanual_put_bottle_in_fridge,right,right:0->1,1,0,41
bimanual_put_bottle_in_fridge,right,right:0->1,2,0,41
bimanual_put_bottle_in_fridge,right,right:0->1,3,0,41
bimanual_put_bottle_in_fridge,right,right:0->1,4,0,41
bimanual_put_bottle_in_fridge,right,right:1->2,0,0,41
bimanual_put_bottle_in_fridge,right,right:1->2,1,0,41
bimanual_put_bottle_in_fridge,right,right:1->2,2,0,41
bimanual_put_bottle_in_fridge,right,right:1->2,3,0,41
bimanual_put_bottle_in_fridge,right,right:1->2,4,0,41
bimanual_sweep_to_dustpan,left,left:0->1,0,0,41
bimanual_sweep_to_dustpan,left,left:0->1,1,0,41
bimanual_sweep_to_dustpan,left,left:0->1,2,0,41
bimanual_sweep_to_dustpan,left,left:0->1,3,0,41
bimanual_sweep_to_dustpan,left,left:0->1,4,0,41
bimanual_sweep_to_dustpan,left,left:1->2,0,0,41
bimanual_sweep_to_dustpan,left,left:1->2,1,0,41
