task,arm,demonstration,boundary,state,family,condition,target,observed,reliability,decision_stable,target_decision_match,compatibility,threshold,log_likelihood,log_likelihood_margin,threshold_pass,decision,target_probability
stack_wine,single,0,single:0->1,k0:t17,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-134473.9402871843,-134490.41124366468,0,,
stack_wine,single,0,single:0->1,k0:t17,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-341074.7259653762,-341106.62992139114,0,,
stack_wine,single,0,single:0->1,k0:t18,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-134473.9402871843,-134490.41124366468,0,,
stack_wine,single,0,single:0->1,k0:t18,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-341074.7259653762,-341106.62992139114,0,,
stack_wine,single,0,single:0->1,k0:t19,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-130431.80454678221,-130448.2755032626,0,,
stack_wine,single,0,single:0->1,k0:t19,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-331105.53730329295,-331137.4412593079,0,,
stack_wine,single,0,single:0->1,k0:t20,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-126330.40539217905,-126346.87634865944,0,,
stack_wine,single,0,single:0->1,k0:t20,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-320987.83244776155,-321019.7364037765,0,,
stack_wine,single,0,single:0->1,k0:t21,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-122208.3277744175,-122224.79873089789,0,,
stack_wine,single,0,single:0->1,k0:t21,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-310800.3714156273,-310832.27537164226,0,,
stack_wine,single,0,single:0->1,k0:t22,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-118086.09750147858,-118102.56845795897,0,,
stack_wine,single,0,single:0->1,k0:t22,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-300576.7364926569,-300608.6404486719,0,,
stack_wine,single,0,single:0->1,k0:t23,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-113926.6917978588,-113943.1627543392,0,,
stack_wine,single,0,single:0->1,k0:t23,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-290256.8883020595,-290288.79225807445,0,,
stack_wine,single,0,single:0->1,k0:t24,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-109775.70686037834,-109792.17781685873,0,,
stack_wine,single,0,single:0->1,k0:t24,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-279921.4425614185,-279953.34651743347,0,,
stack_wine,single,0,single:0->1,k0:t25,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-105605.58493930276,-105622.05589578315,0,,
stack_wine,single,0,single:0->1,k0:t25,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-269538.3155233453,-269570.21947936027,0,,
stack_wine,single,0,single:0->1,k0:t26,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-101447.3149280062,-101463.7858844866,0,,
stack_wine,single,0,single:0->1,k0:t26,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-259165.74381177308,-259197.647767788,0,,
stack_wine,single,0,single:0->1,k0:t27,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-97295.0067314321,-97311.4776879125,0,,
stack_wine,single,0,single:0->1,k0:t27,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-248767.53377309043,-248799.43772910535,0,,
stack_wine,single,0,single:0->1,k0:t28,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-93164.57226543968,-93181.04322192007,0,,
stack_wine,single,0,single:0->1,k0:t28,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-238428.71051092315,-238460.61446693807,0,,
stack_wine,single,0,single:0->1,k0:t29,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-89067.1058896039,-89083.5768460843,0,,
stack_wine,single,0,single:0->1,k0:t29,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-228135.44331405585,-228167.34727007078,0,,
stack_wine,single,0,single:0->1,k0:t30,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-84972.13363437938,-84988.60459085977,0,,
stack_wine,single,0,single:0->1,k0:t30,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-217841.76652085688,-217873.6704768718,0,,
stack_wine,single,0,single:0->1,k0:t31,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-80923.40535669106,-80939.87631317145,0,,
stack_wine,single,0,single:0->1,k0:t31,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-207671.13266711752,-207703.03662313244,0,,
stack_wine,single,0,single:0->1,k0:t32,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-76911.1612424914,-76927.6321989718,0,,
stack_wine,single,0,single:0->1,k0:t32,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-197545.01600340888,-197576.9199594238,0,,
stack_wine,single,0,single:0->1,k0:t33,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-72952.52176918875,-72968.99272566914,0,,
stack_wine,single,0,single:0->1,k0:t33,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-187556.02906685794,-187587.93302287286,0,,
stack_wine,single,0,single:0->1,k0:t34,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-69062.27933061047,-69078.75028709086,0,,
stack_wine,single,0,single:0->1,k0:t34,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-177707.81547487495,-177739.71943088988,0,,
stack_wine,single,0,single:0->1,k0:t35,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-65220.053678972276,-65236.524635452675,0,,
stack_wine,single,0,single:0->1,k0:t35,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-167982.50213204182,-168014.40608805674,0,,
stack_wine,single,0,single:0->1,k0:t36,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-61440.47904023236,-61456.94999671276,0,,
stack_wine,single,0,single:0->1,k0:t36,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-158420.29446524443,-158452.19842125935,0,,
stack_wine,single,0,single:0->1,k0:t37,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-57761.31660574893,-57777.78756222933,0,,
stack_wine,single,0,single:0->1,k0:t37,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-149068.77538611906,-149100.67934213398,0,,
stack_wine,single,0,single:0->1,k0:t38,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-54162.925779584526,-54179.396736064926,0,,
stack_wine,single,0,single:0->1,k0:t38,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-139922.08435907133,-139953.98831508626,0,,
stack_wine,single,0,single:0->1,k0:t39,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-50669.13207175052,-50685.60302823092,0,,
stack_wine,single,0,single:0->1,k0:t39,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-131022.80299797411,-131054.70695398904,0,,
stack_wine,single,0,single:0->1,k0:t40,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-47274.34987385414,-47290.82083033454,0,,
stack_wine,single,0,single:0->1,k0:t40,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-122368.07400303752,-122399.97795905244,0,,
stack_wine,single,0,single:0->1,k0:t41,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-43973.439501865236,-43989.910458345636,0,,
stack_wine,single,0,single:0->1,k0:t41,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-113929.10065097488,-113961.00460698981,0,,
stack_wine,single,0,single:0->1,k0:t42,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-40779.84472034065,-40796.31567682105,0,,
stack_wine,single,0,single:0->1,k0:t42,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-105754.57392971795,-105786.47788573288,0,,
stack_wine,single,0,single:0->1,k0:t43,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-37717.68630538463,-37734.15726186503,0,,
stack_wine,single,0,single:0->1,k0:t43,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-97912.6025148162,-97944.50647083113,0,,
stack_wine,single,0,single:0->1,k0:t44,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-34759.375601442254,-34775.846557922654,0,,
stack_wine,single,0,single:0->1,k0:t44,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-90341.36669607651,-90373.27065209144,0,,
stack_wine,single,0,single:0->1,k0:t45,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-31927.413449935604,-31943.884406416004,0,,
stack_wine,single,0,single:0->1,k0:t45,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-83072.9018402231,-83104.80579623803,0,,
stack_wine,single,0,single:0->1,k0:t46,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-29219.77657364204,-29236.24753012244,0,,
stack_wine,single,0,single:0->1,k0:t46,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-76103.56167628805,-76135.46563230298,0,,
stack_wine,single,0,single:0->1,k0:t47,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-26634.064209516513,-26650.535165996913,0,,
stack_wine,single,0,single:0->1,k0:t47,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-69438.77098698344,-69470.67494299836,0,,
stack_wine,single,0,single:0->1,k0:t48,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-24178.289111383474,-24194.760067863874,0,,
stack_wine,single,0,single:0->1,k0:t48,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-63075.213522932136,-63107.11747894707,0,,
stack_wine,single,0,single:0->1,k0:t49,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-21852.990987666588,-21869.461944146988,0,,
stack_wine,single,0,single:0->1,k0:t49,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-56985.1531235894,-57017.05707960433,0,,
stack_wine,single,0,single:0->1,k0:t50,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-19638.929837150805,-19655.400793631205,0,,
stack_wine,single,0,single:0->1,k0:t50,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-51229.55467410946,-51261.45863012439,0,,
stack_wine,single,0,single:0->1,k0:t51,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-17551.278341451212,-17567.749297931612,0,,
stack_wine,single,0,single:0->1,k0:t51,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-45816.078738376105,-45847.98269439104,0,,
stack_wine,single,0,single:0->1,k0:t52,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-15579.325398739264,-15595.796355219662,0,,
stack_wine,single,0,single:0->1,k0:t52,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-40703.96329248499,-40735.86724849992,0,,
stack_wine,single,0,single:0->1,k0:t53,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-13725.442914442967,-13741.913870923365,0,,
stack_wine,single,0,single:0->1,k0:t53,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-35887.95791296194,-35919.86186897687,0,,
stack_wine,single,0,single:0->1,k0:t54,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-13725.442914442967,-13741.913870923365,0,,
stack_wine,single,0,single:0->1,k0:t54,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-35887.95791296194,-35919.86186897687,0,,
stack_wine,single,0,single:0->1,k0:t55,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-11991.640838079315,-12008.111794559713,0,,
stack_wine,single,0,single:0->1,k0:t55,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-31382.311409321766,-31414.215365336695,0,,
stack_wine,single,0,single:0->1,k0:t56,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-10379.23013463249,-10395.701091112887,0,,
stack_wine,single,0,single:0->1,k0:t56,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-27184.99534970035,-27216.89930571528,0,,
stack_wine,single,0,single:0->1,k0:t57,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-8890.769416127465,-8907.240372607863,0,,
stack_wine,single,0,single:0->1,k0:t57,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-23302.22694287763,-23334.13089889256,0,,
stack_wine,single,0,single:0->1,k0:t58,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-7513.530839332846,-7530.001795813244,0,,
stack_wine,single,0,single:0->1,k0:t58,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-19703.916854599378,-19735.820810614307,0,,
stack_wine,single,0,single:0->1,k0:t59,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-6259.371948048235,-6275.842904528633,0,,
stack_wine,single,0,single:0->1,k0:t59,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-16424.570517645177,-16456.474473660106,0,,
stack_wine,single,0,single:0->1,k0:t60,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-5124.411057416634,-5140.882013897032,0,,
stack_wine,single,0,single:0->1,k0:t60,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-13446.942382794652,-13478.84633880958,0,,
stack_wine,single,0,single:0->1,k0:t61,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-4102.883474350997,-4119.354430831395,0,,
stack_wine,single,0,single:0->1,k0:t61,local_goal,m0:wine_bottle,final_support,1,1.0,,,0.0,31.90395601492942,-10767.595655030551,-10799.49961104548,0,,
stack_wine,single,0,single:0->1,k0:t62,local_goal,m0:virtual_skill_0,final_support,1,1.0,,,0.0,16.470956480398055,-3197.3839974283396,-3213.8549539087376,0,,
