task,arm,demonstration,boundary,source_skill,target_skill,source_duration,terminal_window_size,final_progress_status,final_progress_supported,final_estimated_in_terminal_window,final_end_probability,final_best_explanation_score,terminal_supported_samples,terminal_sample_count,terminal_minimum_end_probability,nonterminal_maximum_end_probability,goal_count,goal_observed_all,goal_support_all,goal_minimum_compatibility,goal_minimum_log_margin,own_relation_count,own_relation_observed_all,own_relation_stable_all,own_relation_match_all,own_relation_minimum_target_probability,own_relation_minimum_compatibility,guard_relation_count,guard_relation_observed_all,guard_relation_stable_all,guard_relation_match_all,guard_relation_minimum_target_probability,guard_relation_minimum_compatibility,guard_scene_count,guard_scene_observed_all,guard_scene_support_all,guard_scene_minimum_compatibility,local_ready_streak,all_conditions_ready_streak
place_cups,single,0,single:2->3,2,3,15,3,aligned,1,1,1.0,0.2773606600466981,3,3,0.9687669510227548,0.20221043493991045,2,1,1,0.23533654513714422,0.0,1,1,1,1,0.9927758797895653,0.697110351915826,1,1,1,1,0.9931250344558079,0.6972500137823231,0,1,1,1.0,2,2
place_cups,single,0,single:3->4,3,4,70,3,aligned,1,1,1.0,0.5978511928851349,3,3,0.8898270216363797,0.09594824935983368,1,1,1,0.5988521826793952,0.5048478979941038,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,2,2
place_cups,single,1,single:0->1,0,1,59,3,aligned,1,1,0.9999999999999999,0.16165866486028999,3,3,0.9998151942395063,0.00022581907066748278,3,1,1,0.07532619206719708,0.0,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
place_cups,single,1,single:1->2,1,2,16,3,aligned,1,1,1.0,0.7756381058645186,3,3,0.6769733253489552,0.10685503526685229,1,1,1,0.7138315528013149,0.0,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
place_cups,single,1,single:2->3,2,3,15,3,low_confidence,1,1,1.0,0.9263369467391915,3,3,0.8612109765723538,0.0029629283933300236,2,1,1,0.4277304107057912,0.8219348903554007,1,1,1,1,0.9999973334869792,0.6999989333947916,1,1,1,1,0.9999635885170468,0.6999854354068187,0,1,1,1.0,1,1
place_cups,single,1,single:3->4,3,4,70,3,aligned,1,1,0.9999999999999999,0.43578253754648155,3,3,0.7741925829968397,0.11537726804974294,1,1,1,0.4365922567422559,0.18883273358614616,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
place_cups,single,2,single:0->1,0,1,59,3,aligned,1,1,1.0,0.21269055888084232,3,3,0.9998423271514891,1.3382129963183714e-06,3,1,1,0.1297363702249656,0.13183823193898903,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
place_cups,single,2,single:1->2,1,2,16,3,aligned,1,1,1.0000000000000002,0.822731233628213,3,3,0.9191844403781984,0.12354934845764534,1,1,1,0.8255867254084527,0.14544740583654914,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,2,2
place_cups,single,2,single:2->3,2,3,15,3,aligned,1,1,0.9999999999999999,0.6773282498501085,3,3,0.9756018381128491,0.03257526514064292,2,1,1,0.6385115587089273,0.9981237683099522,1,1,1,1,0.9849849885778853,0.6939939954311541,1,1,1,1,0.9848614392698026,0.693944575707921,0,1,1,1.0,3,3
place_cups,single,2,single:3->4,3,4,70,3,low_confidence,1,1,1.0,0.8910895425226726,3,3,0.8348378437674085,0.011871160366290505,1,1,1,0.3614656856762315,0.0,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
place_cups,single,3,single:0->1,0,1,59,3,aligned,1,1,1.0,0.1591012383493704,3,3,0.9844334297104474,6.979161708473019e-12,3,1,1,0.12710762612556656,0.0,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
place_cups,single,3,single:1->2,1,2,16,3,aligned,1,1,1.0,0.8343037395159092,3,3,0.9212444139292688,0.015229780185065142,1,1,1,0.8361423572191441,0.15815195923030956,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
place_cups,single,3,single:2->3,2,3,15,3,aligned,1,1,1.0,0.21613073465491134,3,3,0.9953651958077163,0.5252336597583399,2,1,1,0.16102597888221784,0.0,1,1,1,1,0.9821496833669494,0.6928598733467797,1,1,1,1,0.9821936543297747,0.6928774617319099,0,1,1,1.0,3,3
place_cups,single,3,single:3->4,3,4,70,3,aligned,1,1,1.0,0.7775154618516311,3,3,0.460032452741372,2.30835254061758e-09,1,1,1,0.6603271931859214,0.6025686599000508,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
place_cups,single,4,single:0->1,0,1,59,3,aligned,1,1,0.9999999999999999,0.21824690531195673,3,3,0.9983502910469187,3.1266915226066396e-07,3,1,1,0.12228139119377168,0.0,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
place_cups,single,4,single:1->2,1,2,16,3,aligned,1,1,1.0,0.8655323696355552,3,3,0.8391313000376003,0.0007272634259780699,1,1,1,0.8659500842362748,0.19318039941117604,0,1,1,1,1.0,1.0,0,1,1,1,1.0,1.0,0,1,1,1.0,1,1
place_cups,single,4,single:2->3,2,3,15,3,low_confidence,1,1,1.0,0.9787820849632081,3,3,0.3083590224964147,0.022134178941374837,2,1,1,0.6126944535974388,0.9746604325639012,1,1,1,1,0.999991855878467,0.6999967423513868,1,1,1,1,0.9999546370720075,0.6999818548288029,0,1,1,1.0,1,1
