experiment,background,fault,task,method,episodes,successes,success_rate,wilson95_low,wilson95_high,fault_triggered,fault_trigger_rate,triggered_successes,conditional_recovery_rate,fault_effective,relation_restored,relation_restoration_rate,legal_reentries,mean_post_fault_recovery_cycles,git_commit,result_protocol_sha256,result_path,result_sha256
fault,smooth,unexpected_drop,place_cups,progress_only,50,0,0.0,0.0,0.07134759913335868,49,0.98,0,0.0,49,0,0.0,0,0.0,5aa19d6a1bb51690689a58cd2454c7be09023838,97ad201e169d36404ec75552cdc6bd559d92c21ef88a1e73403af2dda7f3fc65,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/fault/unexpected_drop/place_cups/progress_only_n50.json,e488b74a26baa3dcd568f15f5e6c7dd1d02e8195060b2de36e141336264d7464
fault,smooth,unexpected_drop,place_cups,progress_dynamic_roles,50,0,0.0,0.0,0.07134759913335868,50,1.0,0,0.0,50,0,0.0,0,0.0,5aa19d6a1bb51690689a58cd2454c7be09023838,97ad201e169d36404ec75552cdc6bd559d92c21ef88a1e73403af2dda7f3fc65,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/fault/unexpected_drop/place_cups/progress_dynamic_roles_n50.json,15efdbbf95a9a7b29c63cfbfb991a6a392a05b7cebd7d7a2345c1c8dfcbcfdb5
fault,smooth,unexpected_drop,place_cups,full,50,49,0.98,0.8950455641036219,0.9964607407283539,50,1.0,49,0.98,50,49,0.98,49,41.2,5aa19d6a1bb51690689a58cd2454c7be09023838,97ad201e169d36404ec75552cdc6bd559d92c21ef88a1e73403af2dda7f3fc65,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/fault/unexpected_drop/place_cups/full_n50.json,f42c4e96328ac695b4ad78f79e7b0297983b101fbeaeb92cafec9f2aaff6456e
fault,smooth,unexpected_drop,open_microwave,dynamac_v4,50,50,1.0,0.9286524008666414,1.0,0,0.0,0,,0,0,,0,,5aa19d6a1bb51690689a58cd2454c7be09023838,97ad201e169d36404ec75552cdc6bd559d92c21ef88a1e73403af2dda7f3fc65,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/fault/unexpected_drop/open_microwave/dynamac_v4_n50.json,81e73aeaf52ad9eaa45a31d1bace1ec4fa43ba0efed550609ba6479d6ed96b81
fault,smooth,unexpected_drop,open_microwave,progress_only,50,50,1.0,0.9286524008666414,1.0,0,0.0,0,,0,0,,0,,5aa19d6a1bb51690689a58cd2454c7be09023838,97ad201e169d36404ec75552cdc6bd559d92c21ef88a1e73403af2dda7f3fc65,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/fault/unexpected_drop/open_microwave/progress_only_n50.json,424e4b8c0d05e2f197ac295ee8dbf438073b461562d567066a15f753c45b1fee
fault,smooth,unexpected_drop,open_microwave,progress_dynamic_roles,50,50,1.0,0.9286524008666414,1.0,0,0.0,0,,0,0,,0,,5aa19d6a1bb51690689a58cd2454c7be09023838,97ad201e169d36404ec75552cdc6bd559d92c21ef88a1e73403af2dda7f3fc65,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/fault/unexpected_drop/open_microwave/progress_dynamic_roles_n50.json,16b8171741695005b1b2cf8170a471c746a862b35e8e3b0fb43ed3be7a11797f
fault,smooth,unexpected_drop,open_microwave,full,50,50,1.0,0.9286524008666414,1.0,0,0.0,0,,0,0,,0,,5aa19d6a1bb51690689a58cd2454c7be09023838,97ad201e169d36404ec75552cdc6bd559d92c21ef88a1e73403af2dda7f3fc65,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/fault/unexpected_drop/open_microwave/full_n50.json,305440cb5757e54821fe75388db3d84013c705f891be1a19b4ee3907e9330a98
fault,smooth,unexpected_drop,wipe_desk,dynamac_v4,50,42,0.84,0.7148578393696501,0.916625793219666,50,1.0,42,0.84,50,50,1.0,0,0.0,5aa19d6a1bb51690689a58cd2454c7be09023838,97ad201e169d36404ec75552cdc6bd559d92c21ef88a1e73403af2dda7f3fc65,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/fault/unexpected_drop/wipe_desk/dynamac_v4_n50.json,8ac287ba17ab4a57e7b55b3cd6f2483577f99a2a2fa783a5caac2f08106f5e97
fault,smooth,unexpected_drop,wipe_desk,progress_only,50,31,0.62,0.4815044693099298,0.7413721068980641,49,0.98,31,0.6326530612244898,49,0,0.0,0,0.0,5aa19d6a1bb51690689a58cd2454c7be09023838,97ad201e169d36404ec75552cdc6bd559d92c21ef88a1e73403af2dda7f3fc65,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/fault/unexpected_drop/wipe_desk/progress_only_n50.json,0ecbfb57ac60c9811df2aeee25e76098136f9fa5f27b02f70f95a0eb5de5b74a
fault,smooth,unexpected_drop,wipe_desk,progress_dynamic_roles,50,30,0.6,0.46181437747589366,0.7239161026974346,50,1.0,30,0.6,50,0,0.0,0,0.0,5aa19d6a1bb51690689a58cd2454c7be09023838,97ad201e169d36404ec75552cdc6bd559d92c21ef88a1e73403af2dda7f3fc65,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/fault/unexpected_drop/wipe_desk/progress_dynamic_roles_n50.json,65e80630d3abfed1f2c2afeac0bce56c2feba8e4dec8b8fa2c6b9c186eef9c08
fault,smooth,unexpected_drop,wipe_desk,full,50,35,0.7,0.562496495355466,0.8089644649911906,50,1.0,35,0.7,50,1,0.02,5,0.86,5aa19d6a1bb51690689a58cd2454c7be09023838,97ad201e169d36404ec75552cdc6bd559d92c21ef88a1e73403af2dda7f3fc65,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/fault/unexpected_drop/wipe_desk/full_n50.json,fa3b19c63ca1da3e197a31f8e7ec69a70947c3db0d035c870020e521bf3c1bcd
fault,smooth,unexpected_drop,stack_wine,dynamac_v4,50,50,1.0,0.9286524008666414,1.0,50,1.0,50,1.0,50,50,1.0,0,0.0,5aa19d6a1bb51690689a58cd2454c7be09023838,97ad201e169d36404ec75552cdc6bd559d92c21ef88a1e73403af2dda7f3fc65,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/fault/unexpected_drop/stack_wine/dynamac_v4_n50.json,8ce8425a54f37368941dc629712213eabf12cf521e1e43e1ac6958701bccf76f
fault,smooth,unexpected_drop,stack_wine,progress_only,50,0,0.0,0.0,0.07134759913335868,50,1.0,0,0.0,50,0,0.0,0,0.0,5aa19d6a1bb51690689a58cd2454c7be09023838,97ad201e169d36404ec75552cdc6bd559d92c21ef88a1e73403af2dda7f3fc65,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/fault/unexpected_drop/stack_wine/progress_only_n50.json,932930bd98c0709ce2971d59e0ff9257f6fb034ec8246bd978e63c5fbacf5b45
fault,smooth,unexpected_drop,stack_wine,progress_dynamic_roles,50,0,0.0,0.0,0.07134759913335868,50,1.0,0,0.0,50,0,0.0,0,0.0,5aa19d6a1bb51690689a58cd2454c7be09023838,97ad201e169d36404ec75552cdc6bd559d92c21ef88a1e73403af2dda7f3fc65,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/fault/unexpected_drop/stack_wine/progress_dynamic_roles_n50.json,1ee29ae83f94755f005a3f59d3900d1bc34be5303b3fba20addcf9a471d47542
fault,smooth,unexpected_drop,stack_wine,full,50,4,0.08,0.03154951408859297,0.18838246918342832,50,1.0,4,0.08,50,4,0.08,4,287.34,5aa19d6a1bb51690689a58cd2454c7be09023838,97ad201e169d36404ec75552cdc6bd559d92c21ef88a1e73403af2dda7f3fc65,/home/zhengyushuang/workspace/essay2608/integrations/rlbench/results/phase6_formal_v1/fault/unexpected_drop/stack_wine/full_n50.json,c1267f311f878a977b19e6905fa9a06a231b9e11a79ce49416b250ff726d23ff
